Min Dist,Classification
0.075790897,MEAS
0.2221451,MEAS
0.26151219,MEAS
0.277509809,MEAS
0.309167027,MEAS
0.338019699,MEAS
0.348584563,MEAS
0.36492908,MEAS
0.400660336,MEAS
0.446589977,MEAS
0.448260188,MEAS
0.449382991,MEAS
0.4827874,MEAS
0.48761791,MEAS
0.497044384,MEAS
0.508939624,MEAS
0.510934293,MEAS
0.564244092,INF
0.566514075,INF
0.569965661,INF
0.592342138,INF
0.608815312,IND
0.609952033,INF
0.629418671,INF
0.629956186,INF
0.638459146,MEAS
0.656206906,MEAS
0.67533052,MEAS
0.678162634,MEAS
0.686183989,MEAS
0.69990623,MEAS
0.721599758,MEAS
0.738166749,MEAS
0.742076218,MEAS
0.743687928,MEAS
0.749804854,MEAS
0.761904359,MEAS
0.763493776,MEAS
0.768761754,MEAS
0.778029442,MEAS
0.780083954,MEAS
0.785479009,MEAS
0.786396444,MEAS
0.791798174,MEAS
0.797596037,MEAS
0.801843166,MEAS
0.802888155,MEAS
0.812055826,MEAS
0.821323574,IND
0.832916677,INF
0.839005649,INF
0.839108944,IND
0.844513237,INF
0.850527644,INF
0.854220629,IND
0.856634319,INF
0.858617723,IND
0.867295921,INF
0.867660046,IND
0.868284583,INF
0.87668103,INF
0.87811923,INF
0.878201962,IND
0.878450572,INF
0.885397315,INF
0.88632971,INF
0.886886716,INF
0.890393496,INF
0.891695023,INF
0.89746362,INF
0.897916675,MEAS
0.898238599,INF
0.902320862,INF
0.904799879,INF
0.909423709,INF
0.914236486,INF
0.916670144,INF
0.917520821,IND
0.92105484,INF
0.923692286,INF
0.92492938,IND
0.92614454,INF
0.930787086,INF
0.932805419,MEAS
0.938049614,INF
0.93851167,IND
0.940065086,INF
0.940313101,INF
0.944236398,INF
0.945319831,IND
0.949956834,INF
0.950349867,INF
0.950809419,INF
0.952429473,IND
0.954296947,INF
0.961871624,MEAS
0.971429467,INF
0.973799765,IND
0.977636218,INF
0.983087242,INF
0.98859036,INF
0.988785744,INF
0.990639627,INF
1.01045334,MEAS
1.01062918,INF
1.01389956,IND
1.02037537,INF
1.02096152,INF
1.02177703,INF
1.02855861,IND
1.03143883,IND
1.03156126,INF
1.0335964,INF
1.03613591,INF
1.03797936,INF
1.04198885,INF
1.04262674,IND
1.04601288,MEAS
1.05004978,MEAS
1.05393779,MEAS
1.05409849,MEAS
1.05793285,MEAS
1.06194711,MEAS
1.06231534,MEAS
1.0653708,MEAS
1.06919873,MEAS
1.07012582,MEAS
1.07199681,MEAS
1.07543385,MEAS
1.0756321,MEAS
1.07692444,MEAS
1.08043766,MEAS
1.08308899,MEAS
1.0832727,MEAS
1.08859754,MEAS
1.09108603,MEAS
1.09263825,MEAS
1.09516108,MEAS
1.0957135,MEAS
1.09580398,MEAS
1.10917449,MEAS
1.11552513,MEAS
1.11697602,MEAS
1.11895597,MEAS
1.12118626,MEAS
1.1233722,MEAS
1.12350976,MEAS
1.12418389,MEAS
1.12592578,MEAS
1.13963223,IND
1.14652228,INF
1.15120208,INF
1.1523459,INF
1.15878105,INF
1.15966153,INF
1.16051185,INF
1.16785371,INF
1.16803753,INF
1.16804934,INF
1.17509532,INF
1.17608213,INF
1.18079543,INF
1.18125236,INF
1.18325639,IND
1.18434584,INF
1.18477798,INF
1.1870625,INF
1.2010144,INF
1.20238912,MEAS
1.20511484,INF
1.20721304,IND
1.21736395,INF
1.22238457,INF
1.22327197,INF
1.22995865,INF
1.23058522,INF
1.23118699,INF
1.24012971,INF
1.24058461,IND
1.24139869,IND
1.24156129,INF
1.24230039,INF
1.24335134,IND
1.24608886,INF
1.24779856,IND
1.25248647,INF
1.25351727,INF
1.25431228,INF
1.25518227,INF
1.2559551,INF
1.25725448,INF
1.25741374,INF
1.25751936,INF
1.26111829,INF
1.26182163,INF
1.26257885,INF
1.26357043,IND
1.2648356,INF
1.26798022,INF
1.27190161,INF
1.27625382,INF
1.27641463,INF
1.2783196,INF
1.28076875,INF
1.28244913,INF
1.28367162,INF
1.28713119,INF
1.2885313,MEAS
1.29376972,INF
1.29388845,INF
1.29556108,INF
1.30251956,INF
1.30321693,IND
1.30382013,INF
1.30670226,INF
1.30674827,INF
1.3101896,INF
1.31091058,IND
1.31130588,INF
1.31181622,INF
1.31201911,IND
1.31874645,IND
1.32012737,INF
1.32511699,INF
1.32707202,INF
1.32898259,INF
1.33268392,INF
1.33296788,INF
1.33533287,INF
1.33750284,INF
1.33787024,INF
1.33872342,INF
1.34070504,INF
1.34678936,INF
1.34709287,INF
1.34744036,INF
1.35014498,INF
1.3550365,IND
1.35573888,INF
1.35843956,INF
1.35948682,INF
1.35956013,INF
1.36174107,INF
1.36199081,INF
1.36471772,INF
1.36871719,INF
1.3739804,IND
1.37582302,INF
1.37585723,INF
1.3778733,MEAS
1.37787354,INF
1.37814546,INF
1.38013101,INF
1.38071322,INF
1.38080347,INF
1.38259447,INF
1.38526273,INF
1.38622212,INF
1.38651276,INF
1.3871907,INF
1.3877027,INF
1.38807678,INF
1.38813472,INF
1.38945353,IND
1.38965154,INF
1.39040458,INF
1.39120924,INF
1.39370501,IND
1.39448512,INF
1.39796114,INF
1.39796138,INF
1.3986181,INF
1.40006113,INF
1.40163624,INF
1.405509,INF
1.40761197,INF
1.40799212,INF
1.4095782,INF
1.40977299,INF
1.41019034,INF
1.41049993,INF
1.41384268,INF
1.41663253,INF
1.41830099,INF
1.41847765,INF
1.41953957,INF
1.41974413,INF
1.42295182,INF
1.42450452,IND
1.42567933,INF
1.42779398,INF
1.42921901,INF
1.42936087,INF
1.43282592,INF
1.43334901,IND
1.43475163,INF
1.43751299,INF
1.44243896,IND
1.44262576,IND
